,cv_lpd,cv_lpd_se,cv_rmse,log_evidence,train_rmse,n_params,_source_selection
0,-5.526838280140291,0.12441898413329999,58.25842635999335,-334.59484738786733,54.58966517647225,3.0,selection
1,-5.6120426329902875,0.12391343016706031,66.12928913557847,-334.56289498927384,54.73166640822598,4.0,selection
2,-5.6058507146002325,0.12288415720105221,101.14696856467951,-330.78707578927333,92.95644979029406,4.0,selection
3,-5.560021034384436,0.14107613439960853,92.34219086694749,-324.4056447617833,68.09631541225642,5.0,selection
4,-5.2330548813380755,0.15373334560102128,70.3760183317467,-316.27553436146184,67.24163945555541,5.0,selection
5,-4.9013191395896465,0.23663691692382316,30.228428656805978,-297.8918735249841,26.865267406544213,4.0,selection
6,-4.430583477257281,0.15368063457475822,29.574611046719507,-276.351579825737,26.865309850749778,5.0,selection
7,-4.44284956368988,0.1391399570494825,29.501056327748408,-277.3906972183353,26.86806523538566,5.0,selection
8,-4.432199461389042,0.15286690307811193,29.591150852912588,-276.23737640244906,26.86568701993216,6.0,selection
9,-4.455348241793493,0.15139712213033538,29.618873852957016,-276.6668147349444,26.865657834252257,6.0,selection
10,-4.901678446780987,0.2300504736687793,30.439753562005244,-301.60654702791976,26.86262109836062,5.0,selection
11,-4.445759107912224,0.155211948744934,30.30835321038137,-280.7152468808342,26.866405181933292,6.0,selection
12,-4.459068891958529,0.14067725482830776,30.582697797610237,-281.49545280552564,26.862921758742296,6.0,selection
13,-4.44421590390048,0.1524783969909082,30.34197595147315,-280.5316561795514,26.872253016695296,7.0,selection
14,-4.467823211116232,0.15150079497680669,30.357457760975233,-280.864728997675,26.872159530846993,7.0,selection
15,-4.91382867122172,0.2227823319357696,30.866901903969065,-304.5748005041419,26.831912285999927,6.0,selection
16,-4.465525052197352,0.15102959065241603,30.536593497862313,-284.36835144674296,26.856178867565344,7.0,selection
17,-4.470063935177538,0.13845865183928405,30.450525333170546,-284.89643772314673,26.851509797834776,7.0,selection
18,-4.462737741004323,0.1473245539454292,30.468598969370422,-284.07349313222903,26.839937141159126,8.0,selection
19,-4.477948506286007,0.14892411460246827,30.536248747354946,-284.24646650349894,26.848414084512928,8.0,selection
