,y
0,5.231399699323243
1,277.27315340384547
2,462.5856419444955
3,75.83672947156876
4,144.30632210357112
5,616.8590720300592
6,333.5193503603655
7,34.24217676372983
8,63.77959646431859
9,413.699724641394
10,722.7200519510965
11,199.67161381695195
12,119.25245642741469
13,597.2344953290244
14,309.37663661604034
15,13.850106099550052
16,35.28559025661206
17,342.3482751576668
18,639.0895463395176
19,128.56013035842045
20,257.0007765378474
21,693.8169086805057
22,461.4417783821748
23,63.91423520822764
24,46.84298165071614
25,395.7969602923961
26,700.0194122271802
27,197.67856109076823
28,87.59099670198596
29,521.2727644417814
30,299.30006655007776
31,9.800765467951557
32,11.284677426588583
33,300.33358226694264
34,465.5394808159848
35,102.50704646186418
36,147.86100567310427
37,812.4914715787856
38,339.0858712042066
39,53.1041139096436
40,69.14456997334048
41,469.12722434418464
42,768.5933042904649
43,242.37700598321328
44,172.06424481932515
45,654.6921993171909
46,323.81042761203906
47,44.202472763075626
48,14.680611206518437
49,309.680966982849
